Source.Name,Total Throuhput (MB/s),Total IOPS,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth,read_iops,read_runtime_ms,read_slat_min,read_slat_max,read_slat_mean,read_slat_dev,read_clat_max,read_clat_min,read_clat_mean,read_clat_dev,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min,read_lat_max,read_lat_mean,read_lat_dev,read_bw_min,read_bw_max,read_bw_agg_pct,read_bw_mean,read_bw_dev,write_kb,write_bandwidth,write_iops,write_runtime_ms,write_slat_min,write_slat_max,write_slat_mean,write_slat_dev,write_clat_max,write_clat_min,write_clat_mean,write_clat_dev,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min,write_lat_max,write_lat_mean,write_lat_dev,write_bw_min,write_bw_max,write_bw_agg_pct,write_bw_mean,write_bw_dev,cpu_user,cpu_sys,cpu_csw,cpu_mjf,pu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_42_22.txt,1804.40234375,14434,3,fio-2.1.3,server20-s5,0,0,77955200,1292639,10098,60307,8,960,15.213031,5.655166,297,1078532,34073.859418,69974.095781,1.000000%=430,5.000000%=588,10.000000%=892,20.000000%=1208,30.000000%=1544,40.000000%=2064,50.000000%=2896,60.000000%=4896,70.000000%=14784,80.000000%=48896,90.000000%=121344,95.000000%=187392,99.000000%=321536,99.500000%=387072,99.900000%=569344,99.950000%=643072,99.990000%=872448,0%=0,0%=0,0%=0,346,1078545,34089.191644,69973.758945,3047,38834,0.01575375,20363.909909,5023.12743,33474560,555069,4336,60307,9,719,18.110259,5.576276,623,1474967,38223.328721,74625.093864,1.000000%=1012,5.000000%=1352,10.000000%=1608,20.000000%=2008,30.000000%=2416,40.000000%=2960,50.000000%=4016,60.000000%=7328,70.000000%=19328,80.000000%=56576,90.000000%=136192,95.000000%=201728,99.000000%=342016,99.500000%=407552,99.900000%=602112,99.950000%=643072,99.990000%=880640,0%=0,0%=0,0%=0,641,1474987,38241.567842,74624.748376,1339,18962,0.01575151,8743.174812,2400.670372,0.00120639,0.00464046,865162,0,521,0.001,0.001,0.001,0.999,0,0,0,0,0,0,0,0,0,0,0.0213,0.0301,0.043,0.2387,0.2155,0.1098,0.0593,0.0802,0.074,0.1058,0.0207,0.0015,0.0001,0.0001,0,scinia,609276,261517,0,0,20728356,9987440,30748496,0.9998
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_41_16.txt,1838.2568359375,117647,3,fio-2.1.3,server20-s5,0,0,79217440,1317743,82358,60116,3,9429,10.48591,25.553199,0,619976,3810.51695,15679.553556,1.000000%=235,5.000000%=302,10.000000%=434,20.000000%=588,30.000000%=708,40.000000%=852,50.000000%=1032,60.000000%=1304,70.000000%=1816,80.000000%=2864,90.000000%=7392,95.000000%=13632,99.000000%=31104,99.500000%=128512,99.900000%=207872,99.950000%=216064,99.990000%=407552,0%=0,0%=0,0%=0,142,619982,3821.122797,15679.433944,6080,34048,0.0156913,20677.099934,4683.644844,33943440,564632,35289,60116,3,20062,11.15386,32.811411,20,812660,5556.650979,22156.043234,1.000000%=588,5.000000%=772,10.000000%=900,20.000000%=1096,30.000000%=1288,40.000000%=1496,50.000000%=1736,60.000000%=2064,70.000000%=2576,80.000000%=3824,90.000000%=8896,95.000000%=15552,99.000000%=111104,99.500000%=201728,99.900000%=224256,99.950000%=399360,99.990000%=432128,0%=0,0%=0,0%=0,304,812670,5567.926174,22155.979438,2400,14658,0.0156909,8859.58429,2030.752412,0.00421573,0.02540889,6795869,0,24525,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0136,0.0832,0.1474,0.1399,0.2983,0.1511,0.0872,0.0535,0.0175,0.0014,0.0065,0.0004,0.0001,0.0001,0,0,scinia,4943902,2118211,0,0,18836180,11749672,30822356,1
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_40_11.txt,816.25390625,208960,3,fio-2.1.3,server20-s5,0,0,35110112,584983,146245,60019,2,15050,31.601178,60.044995,0,176096,2054.553265,2598.317588,1.000000%=326,5.000000%=426,10.000000%=498,20.000000%=628,30.000000%=788,40.000000%=996,50.000000%=1272,60.000000%=1640,70.000000%=2128,80.000000%=2832,90.000000%=4256,95.000000%=6112,99.000000%=12736,99.500000%=16512,99.900000%=25472,99.950000%=30080,99.990000%=47360,0%=0,0%=0,0%=0,172,176103,2086.335313,2599.418975,6640,10656,0.0156509,9155.511817,481.391055,15056464,250861,62715,60019,2,14411,31.967572,61.959084,1,163295,3261.971998,2950.083861,1.000000%=652,5.000000%=916,10.000000%=1128,20.000000%=1496,30.000000%=1832,40.000000%=2160,50.000000%=2544,60.000000%=2992,70.000000%=3568,80.000000%=4384,90.000000%=5856,95.000000%=7712,99.000000%=14272,99.500000%=18048,99.900000%=28032,99.950000%=34560,99.990000%=87552,0%=0,0%=0,0%=0,272,163302,3294.121426,2950.856921,2824,4656,0.01565014,3926.009848,225.552077,0.00587264,0.11281521,10944773,0,37899,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0006,0.0706,0.1298,0.1011,0.2773,0.2704,0.1304,0.017,0.0027,0.0001,0.0001,0,0,0,0,0,scinia,8765199,3758757,0,0,18060948,12274644,30543644,1
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_39_05.txt,1721.1904296875,13768,3,fio-2.1.3,server20-s5,0,0,74210048,1233093,9633,60182,7,708,14.303695,4.768047,298,1394547,36106.521797,76417.0549,1.000000%=524,5.000000%=780,10.000000%=1012,20.000000%=1368,30.000000%=1800,40.000000%=2416,50.000000%=3344,60.000000%=5280,70.000000%=12992,80.000000%=46848,90.000000%=134144,95.000000%=199680,99.000000%=342016,99.500000%=403456,99.900000%=675840,99.950000%=798720,99.990000%=946176,0%=0,0%=0,0%=0,309,1394561,36120.928892,76417.177461,161,69907,0.01588428,19586.796354,9394.610539,31860736,529406,4135,60182,7,673,17.042758,5.151331,616,1429432,39468.271357,80161.673572,1.000000%=956,5.000000%=1256,10.000000%=1512,20.000000%=1928,30.000000%=2384,40.000000%=2992,50.000000%=4128,60.000000%=6944,70.000000%=17024,80.000000%=54528,90.000000%=146432,95.000000%=205824,99.000000%=358400,99.500000%=423936,99.900000%=700416,99.950000%=815104,99.990000%=962560,0%=0,0%=0,0%=0,633,1429463,39485.426508,80161.764837,113,33488,0.01591734,8426.733124,4146.204142,0.00104805,0.00423065,774854,0,668,0.001,0.001,0.001,0.999,0,0,0,0,0,0,0,0,0,0,0.0051,0.0266,0.0408,0.2282,0.2295,0.1369,0.0613,0.073,0.0643,0.1078,0.0233,0.0024,0.0006,0.0001,0,scinia,579973,248906,0,0,20914072,9813628,30747600,0.9994
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_38_00.txt,1735.021484375,111040,3,fio-2.1.3,server20-s5,0,0,74976448,1243947,77746,60273,2,16241,9.279568,22.110078,2,803939,4234.258456,15277.439504,1.000000%=258,5.000000%=402,10.000000%=510,20.000000%=676,30.000000%=836,40.000000%=1020,50.000000%=1272,60.000000%=1656,70.000000%=2320,80.000000%=3440,90.000000%=7328,95.000000%=13504,99.000000%=56576,99.500000%=120320,99.900000%=205824,99.950000%=214016,99.990000%=403456,0%=0,0%=0,0%=0,126,803946,4243.639859,15277.433049,303,52854,0.01581668,19675.109984,10343.948052,32108368,532715,33294,60273,3,8784,9.864652,19.955814,45,822119,5403.216224,19993.049005,1.000000%=502,5.000000%=644,10.000000%=756,20.000000%=980,30.000000%=1192,40.000000%=1416,50.000000%=1704,60.000000%=2128,70.000000%=2800,80.000000%=4192,90.000000%=8512,95.000000%=15296,99.000000%=86528,99.500000%=173056,99.900000%=216064,99.950000%=354304,99.990000%=423936,0%=0,0%=0,0%=0,288,822123,5413.185836,19993.103713,30,22592,0.01581549,8425.150561,4441.722881,0.00333219,0.02111251,5688523,0,17524,0.001,0.001,0.001,1,0,0,0,0,0.0001,0,0.0001,0.0001,0.0001,0.0062,0.0624,0.1341,0.133,0.2978,0.1817,0.1092,0.0449,0.0186,0.0052,0.0065,0.0004,0.0001,0.0001,0,0,scinia,4686279,2006761,0,0,19835088,10825604,30864096,1
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_36_54.txt,710.4345703125,181870,3,fio-2.1.3,server20-s5,0,0,30563180,509275,127318,60013,2,17571,33.774581,61.196093,0,182809,2568.769059,5832.03467,1.000000%=219,5.000000%=318,10.000000%=398,20.000000%=532,30.000000%=684,40.000000%=860,50.000000%=1112,60.000000%=1448,70.000000%=1960,80.000000%=2896,90.000000%=5472,95.000000%=9536,99.000000%=18560,99.500000%=39168,99.900000%=90624,99.950000%=94720,99.990000%=105984,0%=0,0%=0,0%=0,108,182821,2602.729591,5831.134793,174,29656,0.01569051,7990.784504,4596.813901,13095448,218210,54552,60013,2,16022,34.080577,59.711348,36,183394,3272.786096,6005.931605,1.000000%=402,5.000000%=524,10.000000%=644,20.000000%=900,30.000000%=1176,40.000000%=1480,50.000000%=1848,60.000000%=2320,70.000000%=2960,80.000000%=4016,90.000000%=6560,95.000000%=10304,99.000000%=19840,99.500000%=40192,99.900000%=91648,99.950000%=97792,99.990000%=111104,0%=0,0%=0,0%=0,242,183421,3307.057792,6005.015911,39,13045,0.01569035,3423.790414,1970.236286,0.00448278,0.1020322,7633667,0,34138,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0142,0.1194,0.1482,0.1124,0.2605,0.1871,0.1099,0.039,0.0056,0.0034,0.0002,0,0,0,0,0,scinia,7629079,3268766,0,0,19598616,10688036,30492236,1
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_42_22.txt,1789.396484375,14315,3,fio-2.1.3,server21-s5,0,0,77103104,1281293,10010,60176,9,3330,24.652307,14.167582,124,1436459,34380.388141,72612.738318,1.000000%=516,5.000000%=668,10.000000%=876,20.000000%=1176,30.000000%=1480,40.000000%=1912,50.000000%=2608,60.000000%=4048,70.000000%=11712,80.000000%=47872,90.000000%=124416,95.000000%=191488,99.000000%=346112,99.500000%=415744,99.900000%=602112,99.950000%=659456,99.990000%=724992,0%=0,0%=0,0%=0,419,1436478,34405.255711,72612.183903,2276,38144,0.01574563,20174.763756,5116.379141,33159936,551049,4305,60176,10,3213,27.244011,16.124189,673,1436097,38716.176931,77186.959951,1.000000%=1080,5.000000%=1384,10.000000%=1624,20.000000%=1976,30.000000%=2352,40.000000%=2800,50.000000%=3632,60.000000%=6048,70.000000%=17280,80.000000%=56576,90.000000%=138240,95.000000%=205824,99.000000%=366592,99.500000%=432128,99.900000%=610304,99.950000%=667648,99.990000%=741376,0%=0,0%=0,0%=0,697,1436116,38743.675954,77186.454806,811,18650,0.01574359,8675.489574,2440.982074,0.001766,0.00731466,853371,0,576,0.001,0.001,0.001,0.999,0,0,0,0,0,0,0,0,0,0.0001,0.0043,0.0434,0.0501,0.2558,0.223,0.1018,0.0489,0.0717,0.0694,0.1073,0.0221,0.0022,0.0001,0.0001,0,scinia,602619,259061,0,0,20699072,10026028,30752776,0.9997
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_41_16.txt,1837.2119140625,117581,3,fio-2.1.3,server21-s5,0,0,79228608,1315936,82246,60207,3,21391,11.556073,26.908475,0,626659,3824.776628,15064.669086,1.000000%=241,5.000000%=306,10.000000%=426,20.000000%=580,30.000000%=716,40.000000%=860,50.000000%=1048,60.000000%=1304,70.000000%=1800,80.000000%=2832,90.000000%=7712,95.000000%=14528,99.000000%=32128,99.500000%=109056,99.900000%=205824,99.950000%=211968,99.990000%=407552,0%=0,0%=0,0%=0,155,626666,3836.453134,15064.578982,6144,36544,0.01569357,20651.727273,4452.502804,34039184,565369,35335,60207,3,10302,12.222025,21.96091,2,813051,5517.020879,21560.244494,1.000000%=604,5.000000%=788,10.000000%=916,20.000000%=1128,30.000000%=1320,40.000000%=1512,50.000000%=1736,60.000000%=2040,70.000000%=2544,80.000000%=3728,90.000000%=9024,95.000000%=16320,99.000000%=90624,99.500000%=201728,99.900000%=220160,99.950000%=395264,99.990000%=423936,0%=0,0%=0,0%=0,326,813058,5529.377181,21560.137104,2231,15232,0.01569388,8872.834015,1937.82296,0.00514235,0.02809268,6768697,0,30706,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0105,0.0885,0.139,0.1382,0.3082,0.1503,0.0823,0.0553,0.0195,0.0017,0.0062,0.0003,0.0001,0.0001,0,0,scinia,4951998,2127421,0,0,18927776,11715564,30911808,1
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_40_11.txt,835.625,213920,3,fio-2.1.3,server21-s5,0,0,35949168,599032,149758,60012,2,20830,25.493314,60.194065,0,125713,2003.547578,2517.176804,1.000000%=322,5.000000%=418,10.000000%=490,20.000000%=612,30.000000%=756,40.000000%=948,50.000000%=1208,60.000000%=1576,70.000000%=2064,80.000000%=2768,90.000000%=4128,95.000000%=6048,99.000000%=12736,99.500000%=16320,99.900000%=23168,99.950000%=26752,99.990000%=41728,0%=0,0%=0,0%=0,172,125725,2029.185967,2518.18401,6648,11008,0.01563458,9365.612658,505.799479,15401996,256648,64162,60012,2,26851,25.880147,63.329689,16,166680,3212.088767,2861.578782,1.000000%=644,5.000000%=900,10.000000%=1112,20.000000%=1464,30.000000%=1784,40.000000%=2128,50.000000%=2512,60.000000%=2960,70.000000%=3536,80.000000%=4320,90.000000%=5792,95.000000%=7648,99.000000%=14272,99.500000%=18048,99.900000%=25472,99.950000%=30592,99.990000%=75264,0%=0,0%=0,0%=0,280,166746,3238.119564,2862.276082,2776,4672,0.01563448,4012.558824,232.953124,0.00697828,0.09558468,11386255,0,31045,0.001,0.001,0.001,1,0,0,0,0.0001,0,0.0001,0.0001,0.0001,0.0001,0.0005,0.076,0.138,0.1036,0.2736,0.2626,0.1257,0.0175,0.0024,0.0001,0.0001,0,0,0,0,0,scinia,8967556,3842092,0,0,18010688,12354644,30599860,1
server21-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_39_05.txt,1634.3828125,13074,3,fio-2.1.3,server21-s5,0,0,70455168,1170332,9143,60201,8,3779,23.877285,12.870213,114,1593539,38038.432387,80217.411963,1.000000%=620,5.000000%=836,10.000000%=1032,20.000000%=1352,30.000000%=1752,40.000000%=2320,50.000000%=3184,60.000000%=4960,70.000000%=12224,80.000000%=50432,90.000000%=144384,95.000000%=207872,99.000000%=346112,99.500000%=440320,99.900000%=667648,99.950000%=757760,99.990000%=839680,0%=0,0%=0,0%=0,371,1593557,38062.506496,80217.588192,174,76902,0.01591708,18628.270104,9525.106078,30297728,503276,3931,60201,9,2335,26.285749,12.733521,675,2040528,41433.596288,83168.86749,1.000000%=1032,5.000000%=1320,10.000000%=1560,20.000000%=1944,30.000000%=2352,40.000000%=2896,50.000000%=3920,60.000000%=6688,70.000000%=16768,80.000000%=58624,90.000000%=156672,95.000000%=214016,99.000000%=358400,99.500000%=452608,99.900000%=667648,99.950000%=765952,99.990000%=856064,0%=0,0%=0,0%=0,697,2040553,41460.110185,83168.857724,109,35257,0.01593806,8021.243955,4169.198177,0.00149861,0.00645722,725696,0,640,0.001,0.001,0.001,0.999,0,0,0,0,0,0,0,0,0,0.0001,0.0013,0.0206,0.0446,0.241,0.2357,0.1296,0.0577,0.0648,0.0598,0.1136,0.0274,0.0034,0.0006,0.0001,0.0001,scinia,550679,236699,0,0,20927128,9801496,30764984,0.9996
